age,job,marital,education,default,housing,loan,contact,campaign,poutcome,emp.var.rate,cons.conf.idx,euribor3m,nr.employed
38,,,,,,,,1,,1.4,-42.7,4.962,5228.1
39,,,,,,,,1,,-0.1,-42.0,4.191,5195.8
24,,,,,,,,2,,-1.8,-40.0,0.682,5008.7
38,,,,,,,,1,,-1.1,-50.8,1.031,4963.6
32,,,,,,,,1,,1.1,-36.4,4.857,5191.0
27,,,,,,,,1,,-1.8,-46.2,1.281,5099.1
29,,,,,,,,3,,1.1,-36.4,4.855,5191.0
47,,,,,,,,2,,1.4,-42.7,4.962,5228.1
46,,,,,,,,1,,-0.1,-42.0,4.191,5195.8
53,,,,,,,,2,,-0.1,-42.0,4.153,5195.8
43,,,,,,,,2,,1.4,-36.1,4.968,5228.1
30,,,,,,,,5,,1.1,-36.4,4.857,5191.0
38,,,,,,,,1,,-1.8,-46.2,1.344,5099.1
26,,,,,,,,1,,1.4,-42.7,4.963,5228.1
34,,,,,,,,2,,-1.8,-46.2,1.266,5099.1
53,,,,,,,,1,,1.4,-42.7,4.962,5228.1
33,,,,,,,,2,,1.1,-36.4,4.864,5191.0
51,,,,,,,,2,,1.4,-42.7,4.962,5228.1
47,,,,,,,,3,,1.4,-42.7,4.962,5228.1
32,,,,,,,,2,,-3.4,-29.8,0.803,5017.5
43,,,,,,,,2,,1.1,-36.4,4.864,5191.0
32,,,,,,,,4,,-1.8,-47.1,1.41,5099.1
42,,,,,,,,4,,-0.1,-42.0,4.12,5195.8
45,,,,,,,,6,,1.1,-36.4,4.856,5191.0
33,,,,,,,,1,,1.1,-36.4,4.857,5191.0
48,,,,,,,,1,,-1.8,-47.1,1.365,5099.1
64,,,,,,,,2,,-1.1,-37.5,0.878,4963.6
51,,,,,,,,1,,1.4,-36.1,4.963,5228.1
39,,,,,,,,3,,1.4,-36.1,4.964,5228.1
57,,,,,,,,2,,-1.8,-34.6,0.644,5008.7
39,,,,,,,,3,,1.4,-42.7,4.963,5228.1
37,,,,,,,,5,,1.4,-36.1,4.962,5228.1
30,,,,,,,,1,,-2.9,-31.4,0.881,5076.2
29,,,,,,,,1,,-2.9,-40.8,1.26,5076.2
57,,,,,,,,5,,-1.8,-46.2,1.244,5099.1
47,,,,,,,,1,,-1.8,-46.2,1.299,5099.1
41,,,,,,,,1,,-1.8,-47.1,1.466,5099.1
72,,,,,,,,1,,-1.8,-34.8,0.653,5008.7
21,,,,,,,,3,,-1.8,-46.2,1.25,5099.1
38,,,,,,,,4,,1.1,-36.4,4.86,5191.0
35,,,,,,,,1,,-0.1,-42.0,4.021,5195.8
33,,,,,,,,2,,-0.1,-42.0,4.153,5195.8
36,,,,,,,,2,,1.1,-36.4,4.857,5191.0
35,,,,,,,,2,,-3.4,-29.8,0.819,5017.5
28,,,,,,,,1,,-1.7,-39.8,0.702,4991.6
35,,,,,,,,2,,1.1,-36.4,4.856,5191.0
33,,,,,,,,2,,1.1,-36.4,4.855,5191.0
