job,contact,campaign,poutcome,emp.var.rate,euribor3m,nr.employed
2.0,1.0,1.0,1.0,1.4,4.962,5228.1
3.0,1.0,1.0,1.0,-0.1,4.191,5195.8
11.0,1.0,2.0,1.0,-1.8,0.682,5008.7
0.0,1.0,1.0,1.0,-1.1,1.031,4963.6
4.0,0.0,1.0,1.0,1.1,4.857,5191.0
3.0,1.0,1.0,1.0,-1.8,1.281,5099.1
3.0,0.0,3.0,1.0,1.1,4.855,5191.0
4.0,1.0,2.0,1.0,1.4,4.962,5228.1
2.0,1.0,1.0,1.0,-0.1,4.191,5195.8
6.0,1.0,2.0,1.0,-0.1,4.153,5195.8
6.0,1.0,2.0,1.0,1.4,4.968,5228.1
1.0,0.0,5.0,1.0,1.1,4.857,5191.0
10.0,1.0,1.0,1.0,-1.8,1.344,5099.1
2.0,1.0,1.0,1.0,1.4,4.963,5228.1
4.0,1.0,2.0,1.0,-1.8,1.266,5099.1
3.0,1.0,1.0,1.0,1.4,4.962,5228.1
3.0,0.0,2.0,1.0,1.1,4.864,5191.0
2.0,1.0,2.0,1.0,1.4,4.962,5228.1
4.0,0.0,3.0,1.0,1.4,4.962,5228.1
2.0,1.0,2.0,1.0,-3.4,0.803,5017.5
4.0,0.0,2.0,1.0,1.1,4.864,5191.0
3.0,1.0,4.0,1.0,-1.8,1.41,5099.1
10.0,1.0,4.0,1.0,-0.1,4.12,5195.8
1.0,0.0,6.0,1.0,1.1,4.856,5191.0
10.0,0.0,1.0,1.0,1.1,4.857,5191.0
10.0,1.0,1.0,1.0,-1.8,1.365,5099.1
5.0,0.0,2.0,2.0,-1.1,0.878,4963.6
1.0,1.0,1.0,1.0,1.4,4.963,5228.1
2.0,1.0,3.0,1.0,1.4,4.964,5228.1
5.0,1.0,2.0,1.0,-1.8,0.644,5008.7
4.0,1.0,3.0,1.0,1.4,4.963,5228.1
2.0,1.0,5.0,1.0,1.4,4.962,5228.1
2.0,1.0,1.0,1.0,-2.9,0.881,5076.2
4.0,1.0,1.0,1.0,-2.9,1.26,5076.2
2.0,0.0,5.0,2.0,-1.8,1.244,5099.1
3.0,1.0,1.0,1.0,-1.8,1.299,5099.1
